seed,lr,lam_att,best_epoch,val_P,val_R,val_F1,val_attn_iou
16,0.0002,10,145,0.6813186813186813,0.7848101265822784,0.7294117647058823,0.7787137052819344
16,0.0005,0.1,110,0.71875,0.8734177215189873,0.7885714285714285,0.5049099836333879
16,0.0005,0.3,140,0.7391304347826086,0.8607594936708861,0.7953216374269007,0.6625874125874126
16,0.0005,0.5,140,0.7526881720430108,0.8860759493670886,0.8139534883720929,0.7488101533580116
16,0.0005,0.7,105,0.7362637362637363,0.8481012658227848,0.788235294117647,0.6879899655064283
16,0.0005,1.0,140,0.7419354838709677,0.8734177215189873,0.8023255813953488,0.7758496023138105
16,0.0005,3,150,0.7954545454545454,0.8860759493670886,0.8383233532934132,0.7782306929602292
16,0.0005,5,150,0.8117647058823529,0.8734177215189873,0.8414634146341463,0.8110410094637224
16,0.0005,7,95,0.7128712871287128,0.9113924050632911,0.8,0.8057062269472771
16,0.0005,10,150,0.7553191489361702,0.8987341772151899,0.8208092485549134,0.8417570498915401
16,0.001,0.1,150,0.6875,0.8354430379746836,0.7542857142857142,0.6467459324155194
16,0.001,0.3,145,0.7717391304347826,0.8987341772151899,0.8304093567251462,0.715412031536883
16,0.001,0.5,120,0.7272727272727273,0.810126582278481,0.7664670658682634,0.7092645998558039
16,0.001,0.7,120,0.7362637362637363,0.8481012658227848,0.788235294117647,0.7911707862882718
16,0.001,1.0,150,0.7526881720430108,0.8860759493670886,0.8139534883720929,0.7908101571946796
16,0.001,3,95,0.75,0.8734177215189873,0.8070175438596491,0.7729320004394156
16,0.001,5,100,0.7340425531914894,0.8734177215189873,0.7976878612716763,0.8196030031883164
16,0.001,7,105,0.7528089887640449,0.8481012658227848,0.7976190476190476,0.8376602391468275
16,0.001,10,100,0.7346938775510204,0.9113924050632911,0.8135593220338984,0.8257152252548504
17,0.0002,0.1,150,0.7578947368421053,0.9113924050632911,0.8275862068965517,0.46951092611862644
17,0.0002,0.3,145,0.7058823529411765,0.9113924050632911,0.7955801104972375,0.5733992959756445
17,0.0002,0.5,130,0.6451612903225806,0.759493670886076,0.6976744186046513,0.562208398133748
17,0.0002,0.7,100,0.6428571428571429,0.7974683544303798,0.711864406779661,0.5093498586649272
17,0.0002,1.0,145,0.6296296296296297,0.8607594936708861,0.7272727272727273,0.7003725936659077
17,0.0002,3,120,0.7916666666666666,0.7215189873417721,0.7549668874172185,0.6222782489112996
17,0.0002,5,135,0.7922077922077922,0.7721518987341772,0.7820512820512822,0.7520316027088036
17,0.0002,7,110,0.638095238095238,0.8481012658227848,0.7282608695652173,0.657789002410745
17,0.0002,10,145,0.6274509803921569,0.810126582278481,0.7071823204419889,0.7595354662416031
17,0.0005,0.1,140,0.7281553398058253,0.9493670886075949,0.8241758241758242,0.44508825102513816
17,0.0005,0.3,140,0.776595744680851,0.9240506329113924,0.8439306358381502,0.5863047921871452
17,0.0005,0.5,110,0.8117647058823529,0.8734177215189873,0.8414634146341463,0.6322002404634386
17,0.0005,0.7,135,0.8045977011494253,0.8860759493670886,0.8433734939759037,0.7353295819935691
17,0.0005,1.0,115,0.7954545454545454,0.8860759493670886,0.8383233532934132,0.7245058048321306
17,0.0005,3,135,0.7528089887640449,0.8481012658227848,0.7976190476190476,0.7984016208914904
17,0.0005,5,140,0.7555555555555555,0.8607594936708861,0.8047337278106509,0.8013737836290784
17,0.0005,7,115,0.7171717171717171,0.8987341772151899,0.7977528089887641,0.8045046044602241
17,0.0005,10,125,0.7582417582417582,0.8734177215189873,0.8117647058823529,0.7499447269511387
17,0.001,0.1,130,0.6607142857142857,0.9367088607594937,0.774869109947644,0.48804557940787463
17,0.001,0.3,140,0.6826923076923077,0.8987341772151899,0.7759562841530053,0.6325978801643954
17,0.001,0.5,130,0.7156862745098039,0.9240506329113924,0.8066298342541436,0.6925421662263768
17,0.001,0.7,80,0.6796116504854369,0.8860759493670886,0.7692307692307693,0.5159802030031038
17,0.001,1.0,145,0.75,0.9493670886075949,0.8379888268156425,0.780970272958338
17,0.001,3,145,0.8023255813953488,0.8734177215189873,0.8363636363636363,0.8262979683972912
17,0.001,5,120,0.7741935483870968,0.9113924050632911,0.8372093023255814,0.7887230514096186
17,0.001,7,125,0.8372093023255814,0.9113924050632911,0.8727272727272727,0.7853652993977958
17,0.001,10,145,0.6571428571428571,0.8734177215189873,0.7499999999999999,0.8640832851359167
18,0.0002,0.1,135,0.7032967032967034,0.9142857142857143,0.7950310559006212,0.4857703631010795
18,0.0002,0.3,150,0.7763157894736842,0.8428571428571429,0.8082191780821917,0.6419726499407774
18,0.0002,0.5,140,0.782051282051282,0.8714285714285714,0.8243243243243245,0.5062550212326409
18,0.0002,0.7,85,0.75,0.9,0.8181818181818182,0.5135961559462706
18,0.0002,1.0,150,0.7011494252873564,0.8714285714285714,0.7770700636942675,0.6682427107959023
18,0.0002,3,150,0.7532467532467533,0.8285714285714286,0.7891156462585034,0.7718387631143014
18,0.0002,5,120,0.6896551724137931,0.8571428571428571,0.7643312101910829,0.7528504723639917
18,0.0002,7,135,0.725,0.8285714285714286,0.7733333333333333,0.47047949162333913
18,0.0002,10,105,0.7073170731707317,0.8285714285714286,0.7631578947368421,0.6911485656881349
18,0.0005,0.1,130,0.7471264367816092,0.9285714285714286,0.8280254777070064,0.47669603991931203
18,0.0005,0.3,115,0.7294117647058823,0.8857142857142857,0.7999999999999998,0.6955038137294259
18,0.0005,0.5,150,0.8333333333333334,0.8571428571428571,0.8450704225352113,0.7136971046770602
18,0.0005,0.7,150,0.7241379310344828,0.9,0.8025477707006369,0.707477764357088
18,0.0005,1.0,145,0.7625,0.8714285714285714,0.8133333333333334,0.7773123514094872
18,0.0005,3,115,0.7948717948717948,0.8857142857142857,0.8378378378378378,0.744562122765061
18,0.0005,5,140,0.6966292134831461,0.8857142857142857,0.779874213836478,0.8355795148247979
18,0.0005,7,150,0.7325581395348837,0.9,0.8076923076923077,0.8468587832615656
18,0.0005,10,135,0.6853932584269663,0.8714285714285714,0.7672955974842768,0.5680964842416657
18,0.001,0.1,150,0.84,0.9,0.8689655172413793,0.6308477151850646
18,0.001,0.3,105,0.7901234567901234,0.9142857142857143,0.847682119205298,0.6416819012797075
