train_frac,seed,config,lam_att,bbox_P,bbox_R,bbox_F1,attn_band_iou,attn_gap
0.8,16,abs,5,0.9587628865979382,0.93,0.9441624365482233,0.40140076607874575,0.5589427537670417
0.8,17,abs,0.3,0.9431818181818182,0.8469387755102041,0.8924731182795699,0.28192488061659277,0.3251116736928452
0.8,17,abs,0.5,0.9782608695652174,0.9183673469387755,0.9473684210526316,0.3620412283330442,0.4316968850707781
0.8,17,abs,1,0.6666666666666666,0.8979591836734694,0.7652173913043478,0.29062001131067855,0.37463150108305854
0.8,17,abs,3,0.9772727272727273,0.8775510204081632,0.9247311827956989,0.4246631378291923,0.4999026982786745
0.8,17,abs,5,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.37265439168355213,0.4380832211709276
0.8,18,abs,0.3,0.8873239436619719,0.7974683544303798,0.8400000000000001,0.29193398178807944,0.33719866583585767
0.8,18,abs,0.5,0.9285714285714286,0.8227848101265823,0.87248322147651,0.2688031150987534,0.29257169509785147
0.8,18,abs,1,0.9420289855072463,0.8227848101265823,0.8783783783783783,0.3110230475619965,0.3265699216345739
0.8,18,abs,3,0.7159090909090909,0.7974683544303798,0.7544910179640718,0.35083075271780517,0.3923186529437006
0.8,18,abs,5,0.8831168831168831,0.8607594936708861,0.8717948717948718,0.368479235641487,0.5065013292792534
0.8,19,abs,0.3,0.9176470588235294,0.7878787878787878,0.8478260869565216,0.34667547002348764,0.4799788977196883
0.8,19,abs,0.5,0.08227848101265822,0.26262626262626265,0.1253012048192771,0.18505597500650872,0.43274874448598855
0.8,19,abs,1,0.9529411764705882,0.8181818181818182,0.8804347826086957,0.34318660781740823,0.3631642288606917
0.8,19,abs,3,0.6461538461538462,0.8484848484848485,0.7336244541484717,0.4248979802010788,0.5418692753153173
0.8,19,abs,5,0.9340659340659341,0.8585858585858586,0.8947368421052632,0.43407812403409596,0.5333156992740455
