seed,mode,lr,lam_att,best_epoch,val_P,val_R,val_F1,val_attn_iou
15,abs,0.001,7,70,0.8103448275862069,0.9038461538461539,0.8545454545454546,0.37389380530973454
15,abs,0.001,10,45,0.765625,0.9423076923076923,0.8448275862068965,0.42439217236608023
16,none,0.0002,-,105,0.782608695652174,0.8181818181818182,0.8,nan
16,none,0.0005,-,95,0.8095238095238095,0.7727272727272727,0.7906976744186046,nan
16,none,0.001,-,130,0.8571428571428571,0.8181818181818182,0.8372093023255814,nan
16,abs,0.0002,0.1,150,0.7090909090909091,0.8863636363636364,0.7878787878787878,0.32549114722289596
16,abs,0.0002,0.3,120,0.7755102040816326,0.8636363636363636,0.8172043010752688,0.32525629077353213
16,abs,0.0002,0.5,120,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.3078893442622951
16,abs,0.0002,0.7,120,0.7346938775510204,0.8181818181818182,0.7741935483870968,0.28498727735368956
16,abs,0.0002,1.0,105,0.7954545454545454,0.7954545454545454,0.7954545454545455,0.3173413293353323
16,abs,0.0002,3,105,0.8974358974358975,0.7954545454545454,0.8433734939759037,0.3411113783978831
16,abs,0.0002,5,120,0.7906976744186046,0.7727272727272727,0.7816091954022988,0.35308521057786485
16,abs,0.0002,7,90,0.8,0.8181818181818182,0.8089887640449439,0.27518710420264825
16,abs,0.0002,10,105,0.74,0.8409090909090909,0.7872340425531915,0.3556238790673841
16,abs,0.0005,0.1,55,0.75,0.8863636363636364,0.8125000000000001,0.3182903015838577
16,abs,0.0005,0.3,135,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.34032753326509724
16,abs,0.0005,0.5,140,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.3530007596859965
16,abs,0.0005,0.7,125,0.8,0.8181818181818182,0.8089887640449439,0.37260057849066525
16,abs,0.0005,1.0,140,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.3872465184461275
16,abs,0.0005,3,75,0.7755102040816326,0.8636363636363636,0.8172043010752688,0.2973204104903079
16,abs,0.0005,5,60,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.3192626235639861
16,abs,0.0005,7,75,0.8043478260869565,0.8409090909090909,0.8222222222222223,0.3558364712210866
16,abs,0.0005,10,140,0.8297872340425532,0.8863636363636364,0.8571428571428571,0.39293708032827657
16,abs,0.001,0.1,115,0.8222222222222222,0.8409090909090909,0.8314606741573033,0.32041969330104925
16,abs,0.001,0.3,55,0.8,0.8181818181818182,0.8089887640449439,0.3495648082804046
16,abs,0.001,0.5,130,0.782608695652174,0.8181818181818182,0.8,0.37421163279607567
16,abs,0.001,0.7,105,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.3400547672392333
16,abs,0.001,1.0,60,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.35776524859046643
16,abs,0.001,3,115,0.8604651162790697,0.8409090909090909,0.8505747126436781,0.35767429043813725
16,abs,0.001,5,40,0.7872340425531915,0.8409090909090909,0.8131868131868133,0.380506091846298
16,abs,0.001,7,100,0.7755102040816326,0.8636363636363636,0.8172043010752688,0.3316174478461122
16,abs,0.001,10,40,0.7755102040816326,0.8636363636363636,0.8172043010752688,0.39518579107268054
17,none,0.0002,-,100,0.734375,0.8703703703703703,0.7966101694915254,nan
17,none,0.0005,-,150,0.765625,0.9074074074074074,0.8305084745762712,nan
17,none,0.001,-,145,0.7966101694915254,0.8703703703703703,0.8318584070796461,nan
17,abs,0.0002,0.1,145,0.7868852459016393,0.8888888888888888,0.8347826086956522,0.36737989503431573
17,abs,0.0002,0.3,130,0.7580645161290323,0.8703703703703703,0.8103448275862069,0.4103550813363652
17,abs,0.0002,0.5,125,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.3391949152542373
17,abs,0.0002,0.7,150,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.29358407079646015
17,abs,0.0002,1.0,130,0.8431372549019608,0.7962962962962963,0.8190476190476189,0.3629425482298071
17,abs,0.0002,3,125,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3344451856793418
17,abs,0.0002,5,140,0.7719298245614035,0.8148148148148148,0.7927927927927928,0.3680101287191391
17,abs,0.0002,7,120,0.7758620689655172,0.8333333333333334,0.8035714285714286,0.3426251097453907
17,abs,0.0002,10,135,0.8070175438596491,0.8518518518518519,0.8288288288288288,0.3675972927241963
17,abs,0.0005,0.1,125,0.7692307692307693,0.9259259259259259,0.8403361344537816,0.38112596192790604
17,abs,0.0005,0.3,140,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.4014288472678123
17,abs,0.0005,0.5,35,0.8035714285714286,0.8333333333333334,0.8181818181818182,0.36525644740654883
17,abs,0.0005,0.7,100,0.8727272727272727,0.8888888888888888,0.8807339449541284,0.42483660130718953
17,abs,0.0005,1.0,120,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.2961680517082179
17,abs,0.0005,3,95,0.8,0.8888888888888888,0.8421052631578948,0.35080121264616715
17,abs,0.0005,5,120,0.9090909090909091,0.9259259259259259,0.9174311926605504,0.3755695378607073
17,abs,0.0005,7,150,0.875,0.9074074074074074,0.8909090909090909,0.40642237982663515
17,abs,0.0005,10,125,0.8545454545454545,0.8703703703703703,0.8623853211009175,0.37961595273264404
17,abs,0.001,0.1,150,0.8727272727272727,0.8888888888888888,0.8807339449541284,0.4127207376152524
17,abs,0.001,0.3,115,0.8620689655172413,0.9259259259259259,0.8928571428571429,0.41114616193480547
17,abs,0.001,0.5,120,0.847457627118644,0.9259259259259259,0.8849557522123893,0.3787528868360277
17,abs,0.001,0.7,110,0.8909090909090909,0.9074074074074074,0.8990825688073394,0.42408270829110073
17,abs,0.001,1.0,145,0.85,0.9444444444444444,0.8947368421052632,0.3902745755606791
17,abs,0.001,3,145,0.8275862068965517,0.8888888888888888,0.8571428571428572,0.406669377795852
17,abs,0.001,5,110,0.847457627118644,0.9259259259259259,0.8849557522123893,0.42012748696156077
17,abs,0.001,7,140,0.8867924528301887,0.8703703703703703,0.8785046728971964,0.4207543482509283
17,abs,0.001,10,130,0.9056603773584906,0.8888888888888888,0.897196261682243,0.41005291005291006
18,none,0.0002,-,150,0.7068965517241379,0.7068965517241379,0.7068965517241379,nan
18,none,0.0005,-,60,0.8360655737704918,0.8793103448275862,0.8571428571428572,nan
18,none,0.001,-,120,0.8208955223880597,0.9482758620689655,0.8799999999999999,nan
18,abs,0.0002,0.1,145,0.7936507936507936,0.8620689655172413,0.8264462809917354,0.38650088809946714
18,abs,0.0002,0.3,140,0.8245614035087719,0.8103448275862069,0.8173913043478261,0.38338001867413635
18,abs,0.0002,0.5,140,0.7352941176470589,0.8620689655172413,0.7936507936507937,0.39574235807860264
18,abs,0.0002,0.7,140,0.7868852459016393,0.8275862068965517,0.8067226890756303,0.3138092332723205
18,abs,0.0002,1.0,150,0.7936507936507936,0.8620689655172413,0.8264462809917354,0.3935391754417277
18,abs,0.0002,3,100,0.8253968253968254,0.896551724137931,0.8595041322314049,0.3855105105105105
18,abs,0.0002,5,65,0.7846153846153846,0.8793103448275862,0.8292682926829268,0.33168218743808203
